Mapping ID,Mapping Name,Counterparty,Matching Field,Match Value,Internal Type,S-Value,S-Operator,S-Field
TXMP-000798,Stock Split Out,SYSTEM,type,split-,SPLIT_OUT,,,
TXMP-000793,LHV Stock Split Out,LHV-EE,type,split-,SPLIT_OUT,,,
TXMP-000778,Stock Split Out,IBKR,type,split-,SPLIT_OUT,,,
TXMP-000797,Stock Split In,SYSTEM,type,split+,SPLIT_IN,,,
TXMP-000792,LHV Stock Split In,LHV-EE,type,split+,SPLIT_IN,,,
TXMP-000777,Stock Split In,IBKR,type,split+,SPLIT_IN,,,
TXMP-000780,Securities Withdrawal,SAXO,type,withdrawal,SEC_WITHDRAW,,,
TXMP-000786,SEB Securities Transaction,SEB,payment_description,Securities,SEC_TRANS,,,
TXMP-000762,Securities Sell - LHV,LHV-EE,payment_description,Securities sell,SEC_SELL,,,
TXMP-000779,Securities Deposit,SAXO,type,deposit,SEC_DEPOSIT,,,
TXMP-000761,Securities Buy - LHV,LHV-EE,payment_description,Securities buy,SEC_BUY,,,
TXMP-000766,Management Fee,SYSTEM,payment_description,halduslepingule,MGMT_FEE,,,
TXMP-000803,Loan Agreement Payment In,LHV-EE,payment_description,laenuleping,LOAN_PAYMENT,C,equals,d_c
TXMP-000767,Loan Payment Received,SYSTEM,payment_description,laenu tagasimakse,LOAN_PAYMENT,,,
TXMP-000788,Luminor Investment,LUMIN,payment_description,investment,INV_TRANS,,,
TXMP-000768,Investment Return,SYSTEM,payment_description,investment,INV_INCOME,,,
TXMP-000785,Swedbank Interest,SWED,other_side_name,GENESIS,INT_INCOME,,,
TXMP-000765,Account Interest Credit,LHV-EE,payment_description,Account interest,INT_INCOME,,,
TXMP-000759,LHV Interest Income,LHV-EE,payment_description,intress,INT_INCOME,C,equals,d_c
TXMP-000804,Interest Payment Received,SYSTEM,payment_description,Interest payment,INT_INCOME,C,equals,d_c
TXMP-000770,Interest Payment,SYSTEM,payment_description,Interest payment,INT_EXPENSE,D,equals,d_c
TXMP-000760,LHV Loan Interest,LHV-EE,payment_description,laenuleping,INT_EXPENSE,D,equals,d_c
TXMP-000782,Interest Payment Out,LHV-EE,payment_description,intressimakse,INT_EXPENSE,,,
TXMP-000802,Interest Expense (EST),LHV-EE,payment_description,intress,INT_EXPENSE,D,equals,d_c
TXMP-000774,Equity Sell Order,IBKR,type,müük,EQ_SELL,,,
TXMP-000791,LHV Equity Sell Orders,LHV-EE,type,müük,EQ_SELL,,,
TXMP-000796,Equity Sell,SYSTEM,type,müük,EQ_SELL,,,
TXMP-000773,Equity Buy Order,IBKR,type,ost,EQ_BUY,,,
TXMP-000790,LHV Equity Buy Orders,LHV-EE,type,ost,EQ_BUY,,,
TXMP-000795,Equity Buy,SYSTEM,type,ost,EQ_BUY,,,
TXMP-000776,Dividend Distribution,IBKR,type,dividend,DIV_INCOME,,,
TXMP-000764,Dividend Income,LHV-EE,payment_description,Dividend,DIV_INCOME,,,
TXMP-000799,Dividend Income,SYSTEM,type,dividend,DIV_INCOME,,,
TXMP-000801,LHV Dividend Income,LHV-EE,type,dividend,DIV_INCOME,,,
TXMP-000789,Customer Loan Interest,SYSTEM,reference_number,ID-000001,CUST_INT,,,
TXMP-000763,Securities Commission,LHV-EE,payment_description,Securities commission fee,COMM_FEE,,,
TXMP-000772,Generic Debit,SYSTEM,d_c,D,CASH_OUT,,,
TXMP-000771,Generic Credit,SYSTEM,d_c,C,CASH_IN,,,
TXMP-000781,Corporate Bond Interest,SYSTEM,payment_description,allutatud võlakiri,BOND_INT,,,
TXMP-000784,Bond Coupon Interest,LHV-EE,payment_description,Interest (,BOND_INT,,,
TXMP-000775,Bond Purchase,IBKR,description,võlakiri,BOND_BUY,,,
TXMP-000794,Bond Transaction,SYSTEM,description,võlakiri,BOND_BUY,,,
TXMP-000800,LHV Bond Transaction,LHV-EE,description,võlakiri,BOND_BUY,,,
TXMP-000787,COOP Bank Transfer,COOP,other_side_bic,EKRDEE,BANK_TRANS,,,
TXMP-000769,Asset Return,SYSTEM,payment_description,Return of assets,ASSET_RETURN,,,
TXMP-000783,Asset Return (EST),SYSTEM,payment_description,Varade tagastus,ASSET_RETURN,,,
