"VÄÄRTUSPÄEV","TEHINGUPÄEV","TEHING","SÜMBOL","VÄÄRTPABER","KOGUS","HIND","VALUUTA","NETOSUMMA","TEENUSTASU","KOKKU","VIIDE","KOMMENTAAR"
2024-06-07,2024-06-05,"ost","HLMBK095034FA","Holm Bank 9.50% võlakiri 30.05.2034",1,1051.84722000,"EUR",-1051.85,-8.10,-1059.95,"903745878",""
2024-06-07,2024-06-05,"ost","HLMBK095034FA","Holm Bank 9.50% võlakiri 30.05.2034",1,1071.84722000,"EUR",-1071.85,-2.14,-1073.99,"903708400",""
2024-06-07,2024-06-05,"ost","LHV1T","LHV Group",257,3.50000000,"EUR",-899.50,0.00,-899.50,"903867200",""
2024-06-07,2024-06-05,"ost","LHV1T","LHV Group",500,3.50000000,"EUR",-1750.00,0.00,-1750.00,"903867343",""
2024-06-07,2024-06-05,"ost","LHV1T","LHV Group",1000,3.50000000,"EUR",-3500.00,0.00,-3500.00,"903869459",""
2024-06-07,2024-06-05,"ost","LHV1T","LHV Group",10,3.50000000,"EUR",-35.00,0.00,-35.00,"903872803",""
2024-06-07,2024-06-05,"ost","LHV1T","LHV Group",20,3.50000000,"EUR",-70.00,0.00,-70.00,"903874667",""
2024-06-07,2024-06-05,"ost","LHV1T","LHV Group",513,3.50000000,"EUR",-1795.50,0.00,-1795.50,"903897704",""
2024-06-06,2024-06-05,"ost","FLNC","Fluence Energy Inc",140,22.86000000,"USD",-3200.40,-9.78,-3210.18,"904061446",""
2024-06-06,2024-06-05,"ost","FLNC","Fluence Energy Inc",10,22.86000000,"USD",-228.60,0.00,-228.60,"904061450",""
2024-06-10,2024-06-10,"split-","NVDA","NVIDIA Corporation",-20,780.00000000,"USD",0.00,0.00,0.00,"907202454","split 10:1"
2024-06-10,2024-06-10,"split+","NVDA","NVIDIA Corporation",200,78.00000000,"USD",0.00,0.00,0.00,"907202454","split 10:1"
2024-06-18,2024-06-17,"ost","ADBE","Adobe Systems Inc",20,508.39000000,"USD",-10167.80,-14.23,-10182.03,"912472204",""
2024-06-20,2024-06-18,"ost","NEM","NEWMONT MNG CORP",2,41.47000000,"USD",-82.94,-9.64,-92.58,"913288848",""
2024-06-20,2024-06-18,"ost","NEM","NEWMONT MNG CORP",100,41.47000000,"USD",-4147.00,0.00,-4147.00,"913288851",""
2024-06-20,2024-06-18,"ost","NEM","NEWMONT MNG CORP",73,41.47000000,"USD",-3027.31,-0.51,-3027.82,"913288852",""
2024-06-25,2024-06-24,"müük","NVDA","NVIDIA Corporation",-100,122.50000000,"USD",12250.00,-17.15,12232.85,"916672966",""
2024-06-27,2024-06-26,"ost","MU","MICRON TECHNOLOGY INC",100,142.00000000,"USD",-14200.00,-19.88,-14219.88,"917962047",""
2024-07-11,2024-07-10,"ost","ILMN","Illumina Inc ",100,113.18000000,"USD",-11318.00,-15.85,-11333.85,"928011626",""
2024-07-18,2024-07-16,"ost","BIGB080033A","Bigbank 8% allutatud võlakiri 8% 16.02.2033",20,1031.77800000,"EUR",-20635.56,-47.27,-20682.83,"931700374",""
2024-07-19,2024-07-17,"ost","INBB055031A","Inbank 5.5% allutatud võlakiri 15.12.2031",2,936.21000000,"EUR",-1872.42,-9.74,-1882.16,"932408645",""
2024-07-18,2024-07-17,"müük","CRWD","CROWDSTRIKE HOLDINGS INC - A",-31,358.50000000,"USD",11113.50,-15.56,11097.94,"932494823",""
2024-07-18,2024-07-17,"müük","CRWD","CROWDSTRIKE HOLDINGS INC - A",-4,359.26500000,"USD",1437.06,-2.00,1435.06,"932494830",""
2024-07-18,2024-07-17,"müük","HYLN","Hyliion Holdings Corporation",-25,2.51000000,"USD",62.75,-9.84,52.91,"932677233",""
2024-07-18,2024-07-17,"müük","HYLN","Hyliion Holdings Corporation",-75,2.51000000,"USD",188.25,0.00,188.25,"932677234",""
2024-07-18,2024-07-17,"müük","HYLN","Hyliion Holdings Corporation",-100,2.51000000,"USD",251.00,0.00,251.00,"932677237",""
2024-07-18,2024-07-17,"müük","HYLN","Hyliion Holdings Corporation",-100,2.51000000,"USD",251.00,0.00,251.00,"932677238",""
2024-07-18,2024-07-17,"müük","HYLN","Hyliion Holdings Corporation",-700,2.51000000,"USD",1757.00,0.00,1757.00,"932677240",""
2024-07-25,2024-07-24,"müük","META","Meta Platforms Inc",-20,469.89000000,"USD",9397.80,-13.16,9384.64,"936528224",""
